       VX(Bohr/aut)            VY(Bohr/aut)            VZ(Bohr/aut)
  6.680475876469432E-006 -1.300028498446684E-005  1.264723152933056E-005
  6.680475876469432E-006 -1.300028498446684E-005  1.264723152933056E-005
 -6.353808090031985E-005 -8.948686173096350E-005 -3.284233070124907E-005
 -1.222873954431738E-003 -1.352310199836633E-003 -7.838928191468228E-004
 -1.222873954431738E-003 -1.352310199836633E-003 -7.838928191468228E-004
  5.515366184355425E-005  5.682813687233730E-005  1.046833199266160E-004
  5.515366184355425E-005  5.682813687233730E-005  1.046833199266160E-004
 -1.506489493323503E-005 -1.965843987415936E-005  5.919375769603637E-005
 -1.174400768464653E-003 -1.282481777979829E-003 -6.918567307495374E-004
 -1.174400768464653E-003 -1.282481777979829E-003 -6.918567307495374E-004
